,player_id,perf_date,season,latest,player_url,player_positions,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,league_id,league_level,club_team_id,club_position,club_jersey_number,club_loaned_from,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,best_position,2nd_position,value_million_eur
143075,210514,2022-09-26 00:00:00,2022.0,True,/player/210514/joao-pedro-cavaco-cancelo/230002,"LB, RB",88,88,82500000.0,250000.0,28,182,74,13.0,1.0,10.0,LB,7.0,,Right,4,4,3,High/Medium,Unique,152600000.0,"#Dribbler, #Crosser","Early Crosser, Long Shot Taker (AI), Outside Foot Shot, Technical Dribbler (AI)",85.0,73.0,85.0,85.0,81.0,73.0,88,69,72,88,62,86,87,69,79,87,86,84,79,85,78,80,72,91,62,79,76,82,81,85,52,86.0,81,84,80,6,9,15,14,14,,78+3,78+3,78+3,84,83,83,83,84,84+3,84+3,84+3,85+3,84+3,84+3,84+3,85+3,85+3,83+3,83+3,83+3,85+3,84+3,79+3,79+3,79+3,84+3,19+3,https://cdn.sofifa.net/players/210/514/23_120.png,LB, RB,82.5
143076,218667,2022-09-26 00:00:00,2022.0,True,/player/218667/bernardo-mota-carvalho-e-silva/230002,"CAM, CM",88,88,97500000.0,260000.0,27,173,64,13.0,1.0,10.0,RW,20.0,,Left,3,4,2,High/High,Lean (170-185),180400000.0,"#Dribbler, #Engine, #Acrobat","Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",77.0,78.0,84.0,92.0,61.0,68.0,85,79,51,89,78,92,85,67,77,91,84,71,94,87,92,79,51,93,54,78,75,60,83,85,68,90.0,59,71,53,9,10,14,12,9,,78+2,78+2,78+2,86,84,84,84,86,86+2,86+2,86+2,86+2,84+2,84+2,84+2,86+2,77+2,75+2,75+2,75+2,77+2,73+2,65+2,65+2,65+2,73+2,19+2,https://cdn.sofifa.net/players/218/667/23_120.png,CAM, CM,97.5
143078,239085,2022-09-26 00:00:00,2022.0,True,/player/239085/erling-haaland/230002,ST,88,94,148000000.0,220000.0,21,195,94,13.0,1.0,10.0,ST,9.0,,Left,3,3,4,High/Medium,Unique,303400000.0,"#Aerial Threat, #Distance Shooter, #Strength, #Clinical Finisher, #Complete Forward","Injury Prone, Speed Dribbler (AI), Power Header",89.0,91.0,65.0,80.0,49.0,87.0,47,94,79,74,88,78,77,62,53,82,82,94,76,88,72,94,74,81,93,87,85,43,89,74,76,85.0,44,53,29,7,14,13,11,7,,87+3,87+3,87+3,80,84,84,84,80,80+3,80+3,80+3,77+3,73+3,73+3,73+3,77+3,62+3,64+3,64+3,64+3,62+3,61+3,62+3,62+3,62+3,61+3,19+3,https://cdn.sofifa.net/players/239/085/23_120.png,ST,,148.0
143079,239818,2022-09-26 00:00:00,2022.0,True,/player/239818/ruben-santos-gato-alves-dias/230002,CB,88,91,107500000.0,230000.0,25,187,82,13.0,1.0,10.0,RCB,3.0,,Right,4,2,3,Medium/High,Normal (185+),206900000.0,#Tackling ,"Leadership, Power Header",63.0,39.0,66.0,68.0,88.0,88.0,54,29,87,82,32,64,46,48,76,74,57,67,60,89,56,74,78,83,89,26,92,85,39,51,45,81.0,90,89,85,7,8,13,7,12,,61+3,61+3,61+3,59,60,60,60,59,62+3,62+3,62+3,64+3,70+3,70+3,70+3,64+3,78+3,83+3,83+3,83+3,78+3,80+3,87+3,87+3,87+3,80+3,18+3,https://cdn.sofifa.net/players/239/818/23_120.png,CB,,107.5
143080,167948,2022-09-26 00:00:00,2022.0,True,/player/167948/hugo-lloris/230002,GK,87,87,9000000.0,80000.0,35,188,82,13.0,1.0,18.0,GK,1.0,,Left,1,1,4,Medium/Medium,Unique,17100000.0,,"Leadership, Cautious With Crosses",,,,,,,13,10,9,54,15,12,12,10,55,29,61,62,54,84,56,56,74,41,43,14,31,25,9,59,40,59.0,24,12,18,88,83,74,84,88,61.0,31+3,31+3,31+3,33,35,35,35,33,39+3,39+3,39+3,37+3,41+3,41+3,41+3,37+3,34+3,38+3,38+3,38+3,34+3,33+3,29+3,29+3,29+3,33+3,85+2,https://cdn.sofifa.net/players/167/948/23_120.png,GK,,9.0
143082,193080,2022-09-26 00:00:00,2022.0,True,/player/193080/david-de-gea-quintana/230002,GK,87,87,42000000.0,150000.0,31,192,76,13.0,1.0,11.0,GK,1.0,,Right,3,1,4,Medium/Medium,Unique,79800000.0,,"Solid Player, Cautious With Crosses, Saves with Feet",,,,,,,17,13,21,48,13,18,21,19,50,34,52,50,63,89,43,57,67,43,55,12,30,30,12,53,29,58.0,25,21,13,88,80,76,84,89,51.0,34+3,34+3,34+3,34,36,36,36,34,39+3,39+3,39+3,37+3,41+3,41+3,41+3,37+3,35+3,39+3,39+3,39+3,35+3,35+3,33+3,33+3,33+3,35+3,85+2,https://cdn.sofifa.net/players/193/080/23_120.png,GK,,42.0
143084,201024,2022-09-26 00:00:00,2022.0,True,/player/201024/kalidou-koulibaly/230002,CB,87,87,54500000.0,175000.0,31,187,89,13.0,1.0,5.0,LCB,26.0,,Right,4,2,3,Medium/High,Unique,100800000.0,"#Tackling, #Strength",Power Header,82.0,33.0,59.0,68.0,88.0,85.0,38,25,84,71,14,70,53,28,67,72,74,88,51,83,34,67,82,70,94,20,83,85,35,60,33,82.0,90,89,86,7,11,7,13,5,,59+3,59+3,59+3,59,60,60,60,59,61+3,61+3,61+3,63+3,67+3,67+3,67+3,63+3,75+3,79+3,79+3,79+3,75+3,78+3,86+1,86+1,86+1,78+3,17+3,https://cdn.sofifa.net/players/201/024/23_120.png,CB,,54.5
143086,209499,2022-09-26 00:00:00,2022.0,True,/player/209499/fabio-henrique-tavares/230002,"CDM, CB",87,88,77000000.0,185000.0,28,188,78,13.0,1.0,9.0,CDM,3.0,,Right,2,3,3,Medium/High,Unique,148200000.0,"#Tackling, #Tactician ","Dives Into Tackles (AI), Long Passer (AI)",66.0,69.0,78.0,77.0,86.0,83.0,75,63,75,84,47,78,71,53,82,81,64,68,63,86,64,81,75,88,81,70,85,88,70,76,90,85.0,86,88,86,13,12,6,8,8,,74+3,74+3,74+3,75,75,75,75,75,76+3,76+3,76+3,77+3,81+3,81+3,81+3,77+3,82+3,85+3,85+3,85+3,82+3,82+3,84+3,84+3,84+3,82+3,18+3,https://cdn.sofifa.net/players/209/499/23_120.png,CDM, CB,77.0
143089,216267,2022-09-26 00:00:00,2022.0,True,/player/216267/andrew-robertson/230002,LB,87,87,72000000.0,185000.0,28,178,64,13.0,1.0,9.0,LB,26.0,,Left,2,3,3,High/High,Unique,133200000.0,"#Engine, #Crosser","Early Crosser, Speed Dribbler (AI)",80.0,61.0,81.0,81.0,82.0,76.0,88,55,67,82,32,81,82,71,76,83,79,81,75,85,74,76,62,95,65,65,85,84,77,80,55,83.0,83,84,82,11,8,10,7,14,,72+3,72+3,72+3,78,77,77,77,78,78+3,78+3,78+3,81+3,81+3,81+3,81+3,81+3,85+2,82+3,82+3,82+3,85+2,84+3,79+3,79+3,79+3,84+3,18+3,https://cdn.sofifa.net/players/216/267/23_120.png,LB,,72.0
143091,231281,2022-09-26 00:00:00,2022.0,True,/player/231281/trent-alexander-arnold/230002,RB,87,90,100500000.0,150000.0,23,180,69,13.0,1.0,9.0,RB,66.0,,Right,4,3,3,High/Medium,Unique,193500000.0,#Crosser,"Early Crosser, Long Passer (AI), Long Shot Taker (AI)",76.0,69.0,89.0,80.0,80.0,73.0,92,62,69,87,63,78,87,85,91,86,76,76,73,83,73,82,66,89,66,75,71,83,78,90,55,82.0,79,83,80,14,15,14,6,7,,75+3,75+3,75+3,80,79,79,79,80,82+3,82+3,82+3,83+3,85+3,85+3,85+3,83+3,84+3,84+3,84+3,84+3,84+3,83+3,78+3,78+3,78+3,83+3,19+3,https://cdn.sofifa.net/players/231/281/23_120.png,RB,,100.5
143092,231866,2022-09-26 00:00:00,2022.0,True,/player/231866/rodrigo-hernandez-cascante/230002,CDM,87,89,88500000.0,200000.0,26,191,82,13.0,1.0,10.0,CDM,16.0,,Right,4,3,3,Medium/High,Normal (185+),170400000.0,,Solid Player,58.0,72.0,78.0,79.0,83.0,84.0,63,64,80,86,59,78,65,61,83,85,54,62,65,82,65,89,72,88,84,82,82,83,75,83,46,85.0,84,86,78,10,10,7,14,8,,76+3,76+3,76+3,74,77,77,77,74,79+3,79+3,79+3,76+3,83+3,83+3,83+3,76+3,79+3,84+3,84+3,84+3,79+3,79+3,82+3,82+3,82+3,79+3,18+3,https://cdn.sofifa.net/players/231/866/23_120.png,CDM,,88.5
143093,164240,2022-09-26 00:00:00,2022.0,True,/player/164240/thiago-emiliano-da-silva/230002,CB,86,86,12000000.0,115000.0,37,183,79,13.0,1.0,5.0,CB,6.0,,Right,3,2,4,Medium/High,Normal (170-185),22200000.0,#Tactician ,"Leadership, Power Header, Team Player",49.0,54.0,73.0,72.0,87.0,76.0,60,40,82,81,61,67,62,61,82,79,45,52,62,83,66,71,88,66,80,65,76,89,59,71,60,86.0,89,86,84,9,12,5,9,10,,65+3,65+3,65+3,65,66,66,66,65,69+3,69+3,69+3,67+3,76+3,76+3,76+3,67+3,75+3,82+3,82+3,82+3,75+3,77+3,84+2,84+2,84+2,77+3,18+3,https://cdn.sofifa.net/players/164/240/23_120.png,CB,,12.0
143096,189509,2022-09-26 00:00:00,2022.0,True,/player/189509/thiago-alcantara/230002,CM,86,86,55500000.0,180000.0,31,174,70,13.0,1.0,9.0,LCM,6.0,,Right,3,5,3,Medium/Medium,Normal (170-185),102700000.0,"#Dribbler, #Playmaker, #Acrobat, #Complete Midfielder","Injury Prone, Dives Into Tackles (AI), Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",61.0,72.0,87.0,90.0,72.0,69.0,78,68,54,91,82,89,85,77,89,92,69,55,90,84,90,75,86,76,60,73,80,82,75,88,75,90.0,68,74,74,6,11,7,9,13,,74+3,74+3,74+3,81,80,80,80,81,84+2,84+2,84+2,82+3,85+1,85+1,85+1,82+3,78+3,81+3,81+3,81+3,78+3,76+3,73+3,73+3,73+3,76+3,18+3,https://cdn.sofifa.net/players/189/509/23_120.png,CM,,55.5
143101,202652,2022-09-26 00:00:00,2022.0,True,/player/202652/raheem-sterling/230002,"LW, RW",86,86,72500000.0,195000.0,27,170,69,13.0,1.0,5.0,ST,17.0,,Right,3,4,4,High/Medium,Unique,134100000.0,"#Speedster, #Dribbler, #Acrobat","Flair, Speed Dribbler (AI)",90.0,80.0,78.0,86.0,45.0,67.0,79,82,46,83,67,86,79,72,67,84,94,86,94,91,93,78,57,79,65,80,59,30,91,80,70,77.0,47,53,47,15,12,12,15,9,,80+3,80+3,80+3,85,85,85,85,85,84+2,84+2,84+2,84+2,77+3,77+3,77+3,84+2,68+3,64+3,64+3,64+3,68+3,65+3,55+3,55+3,55+3,65+3,21+3,https://cdn.sofifa.net/players/202/652/23_120.png,LW, RW,72.5
143102,204485,2022-09-26 00:00:00,2022.0,True,/player/204485/riyad-mahrez/230002,"RW, RM",86,86,56500000.0,220000.0,31,179,67,13.0,1.0,10.0,SUB,26.0,,Left,4,5,3,Medium/Medium,Unique,104500000.0,"#Dribbler, #Acrobat","Finesse Shot, Flair, Long Shot Taker (AI), Technical Dribbler (AI)",80.0,83.0,81.0,90.0,38.0,60.0,81,84,56,83,76,91,85,78,75,90,84,77,92,83,88,84,56,75,57,83,48,39,83,83,80,83.0,45,31,22,15,9,13,11,6,,80+3,80+3,80+3,85,85,85,85,85,85+1,85+1,85+1,84+2,78+3,78+3,78+3,84+2,64+3,61+3,61+3,61+3,64+3,59+3,49+3,49+3,49+3,59+3,18+3,https://cdn.sofifa.net/players/204/485/23_120.png,RW, RM,56.5
143104,212198,2022-09-26 00:00:00,2022.0,True,/player/212198/bruno-miguel-borges-fernandes/230002,"CAM, CM",86,86,72500000.0,190000.0,27,179,69,13.0,1.0,11.0,CAM,8.0,,Right,3,4,3,High/High,Unique,137800000.0,"#Playmaker, #Engine, #Distance Shooter, #Complete Midfielder","Solid Player, Leadership, Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",72.0,86.0,88.0,81.0,67.0,76.0,85,83,64,88,87,79,87,85,88,84,75,69,78,91,79,88,71,92,66,88,80,64,86,91,90,79.0,66,73,65,12,14,15,8,14,,81+3,81+3,81+3,83,84,84,84,83,85+1,85+1,85+1,84+2,86,86,86,84+2,78+3,79+3,79+3,79+3,78+3,76+3,71+3,71+3,71+3,76+3,21+3,https://cdn.sofifa.net/players/212/198/23_120.png,CAM, CM,72.5
143105,212218,2022-09-26 00:00:00,2022.0,True,/player/212218/aymeric-laporte/230002,CB,86,87,64500000.0,195000.0,28,191,85,13.0,1.0,10.0,LCB,14.0,,Left,3,2,3,Medium/Medium,Unique,124200000.0,"#Tackling, #Tactician ","Injury Prone, Long Passer (AI)",61.0,50.0,72.0,69.0,86.0,79.0,58,45,84,83,40,63,61,69,81,78,55,65,57,87,55,68,80,67,84,47,81,87,54,65,44,84.0,86,87,86,10,11,5,14,5,,66+3,66+3,66+3,64,66,66,66,64,68+3,68+3,68+3,67+3,74+3,74+3,74+3,67+3,77+3,82+3,82+3,82+3,77+3,78+3,85+2,85+2,85+2,78+3,18+3,https://cdn.sofifa.net/players/212/218/23_120.png,CB,,64.5
143113,234642,2022-09-26 00:00:00,2022.0,True,/player/234642/edouard-mendy/230002,GK,86,87,51000000.0,130000.0,30,197,86,13.0,1.0,5.0,GK,16.0,,Right,2,1,2,Medium/Medium,Lean (185+),98200000.0,,"Leadership, Comes For Crosses",,,,,,,10,5,10,47,9,18,13,14,54,31,33,36,50,84,33,61,39,37,72,9,22,13,6,52,13,58.0,10,11,13,84,82,81,85,88,34.0,29+2,29+2,29+2,29,32,32,32,29,35+2,35+2,35+2,32+2,38+2,38+2,38+2,32+2,28+2,34+2,34+2,34+2,28+2,26+2,26+2,26+2,26+2,26+2,84+2,https://cdn.sofifa.net/players/234/642/23_120.png,GK,,51.0
143117,186942,2022-09-26 00:00:00,2022.0,True,/player/186942/ilkay-gundogan/230002,"CM, CDM",85,85,44000000.0,185000.0,31,180,80,13.0,1.0,10.0,LCM,8.0,,Right,4,4,3,High/Medium,Normal (170-185),81400000.0,#Playmaker ,"Injury Prone, Leadership, Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",64.0,80.0,85.0,85.0,72.0,72.0,78,81,50,88,75,85,86,80,85,90,66,63,77,86,77,79,61,74,73,81,70,75,83,86,80,87.0,76,75,67,11,14,5,5,13,,78+3,78+3,78+3,82,82,82,82,82,84+1,84+1,84+1,82+3,84+1,84+1,84+1,82+3,77+3,80+3,80+3,80+3,77+3,75+3,72+3,72+3,72+3,75+3,19+3,https://cdn.sofifa.net/players/186/942/23_120.png,CM, CDM,44.0
143119,188377,2022-09-26 00:00:00,2022.0,True,/player/188377/kyle-walker/230002,RB,85,85,37500000.0,170000.0,32,183,83,13.0,1.0,10.0,RB,2.0,,Right,2,3,3,High/High,Unique,69400000.0,"#Speedster, #Engine","Long Throw-in, Speed Dribbler (AI)",91.0,63.0,77.0,78.0,80.0,82.0,77,51,74,80,57,79,76,71,81,81,87,94,66,85,69,86,83,86,80,69,84,80,68,69,63,75.0,76,84,83,12,6,16,15,8,,74+3,74+3,74+3,76,76,76,76,76,75+3,75+3,75+3,78+3,78+3,78+3,78+3,78+3,82+3,81+3,81+3,81+3,82+3,82+3,81+3,81+3,81+3,82+3,19+3,https://cdn.sofifa.net/players/188/377/23_120.png,RB,,37.5
143120,188567,2022-09-26 00:00:00,2022.0,True,/player/188567/pierre-emerick-aubameyang/230002,ST,85,85,34500000.0,180000.0,33,187,80,13.0,1.0,5.0,SUB,9.0,,Right,4,4,3,High/Low,Unique,63800000.0,,"Solid Player, Finesse Shot, Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",87.0,84.0,74.0,79.0,36.0,68.0,72,87,76,78,82,78,80,76,64,81,85,89,77,84,67,82,75,74,74,79,43,48,88,74,82,83.0,20,29,36,6,9,15,9,9,,83+2,83+2,83+2,81,82,82,82,81,80+3,80+3,80+3,80+3,73+3,73+3,73+3,80+3,62+3,58+3,58+3,58+3,62+3,59+3,51+3,51+3,51+3,59+3,17+3,https://cdn.sofifa.net/players/188/567/23_120.png,ST,,34.5
143126,205498,2022-09-26 00:00:00,2022.0,True,/player/205498/luiz-frello-filho-jorge/230002,CM,85,85,51500000.0,165000.0,30,180,68,13.0,1.0,5.0,LCM,5.0,,Right,3,3,2,Medium/Medium,Lean (170-185),95300000.0,#Playmaker ,Playmaker (AI),54.0,67.0,86.0,81.0,73.0,73.0,75,64,56,92,71,79,75,76,89,87,63,47,75,82,72,71,58,87,66,62,79,81,69,88,89,84.0,67,81,71,14,7,13,14,8,,70+2,70+2,70+2,75,75,75,75,75,80+2,80+2,80+2,78+2,84+1,84+1,84+1,78+2,78+2,82+2,82+2,82+2,78+2,75+2,73+2,73+2,73+2,75+2,19+2,https://cdn.sofifa.net/players/205/498/23_120.png,CM,,51.5
143131,208830,2022-09-26 00:00:00,2022.0,True,/player/208830/jamie-vardy/230002,ST,85,85,23000000.0,110000.0,35,179,74,13.0,1.0,95.0,ST,9.0,,Right,4,3,3,High/Medium,Unique,43700000.0,,"Dives Into Tackles (AI), Team Player, Chip Shot (AI)",84.0,84.0,70.0,79.0,52.0,72.0,69,90,78,74,85,76,69,61,60,83,85,84,74,88,75,87,80,73,65,65,86,49,90,74,85,86.0,45,52,54,15,14,7,15,11,,83+2,83+2,83+2,80,82,82,82,80,79+3,79+3,79+3,79+3,73+3,73+3,73+3,79+3,67+3,65+3,65+3,65+3,67+3,66+3,63+3,63+3,63+3,66+3,22+3,https://cdn.sofifa.net/players/208/830/23_120.png,ST,,23.0
